num_date_time,answer
1_20220825 00,2028.6636
1_20220825 01,1985.8428
1_20220825 02,1893.5098
1_20220825 03,1815.889
1_20220825 04,1820.4404
1_20220825 05,1931.3727
1_20220825 06,2111.2803
1_20220825 07,2401.4158
1_20220825 08,2951.927
1_20220825 09,3124.0457
1_20220825 10,3836.3284
1_20220825 11,3995.7188
1_20220825 12,3930.4624
1_20220825 13,4031.0168
1_20220825 14,4053.4182
1_20220825 15,3932.3064
1_20220825 16,4108.3076
1_20220825 17,3597.7258
1_20220825 18,3003.7717
1_20220825 19,2718.0154
1_20220825 20,2666.1624
1_20220825 21,2243.1267
1_20220825 22,1698.4613
1_20220825 23,1783.1826
1_20220826 00,1940.3402
1_20220826 01,1838.8235
1_20220826 02,1764.2892
1_20220826 03,1783.6116
1_20220826 04,1746.9706
1_20220826 05,1849.1494
1_20220826 06,2023.5496
1_20220826 07,2352.4438
1_20220826 08,2908.2104
1_20220826 09,3035.407
1_20220826 10,4107.3237
1_20220826 11,4041.403
1_20220826 12,4214.2793
1_20220826 13,4207.0537
1_20220826 14,4230.8057
1_20220826 15,4240.5576
1_20220826 16,4256.695
1_20220826 17,3737.2107
1_20220826 18,3149.3638
1_20220826 19,2842.9058
1_20220826 20,2700.5813
1_20220826 21,2268.88
1_20220826 22,1863.8003
1_20220826 23,1890.7241
1_20220827 00,2153.8118
1_20220827 01,2093.8115
1_20220827 02,1897.5072
1_20220827 03,1990.5819
1_20220827 04,1974.2874
1_20220827 05,2078.2693
1_20220827 06,2278.769
1_20220827 07,2651.3027
1_20220827 08,3096.4446
1_20220827 09,3383.0984
1_20220827 10,4253.615
1_20220827 11,4208.0283
1_20220827 12,4311.161
1_20220827 13,4204.031
1_20220827 14,4222.01
1_20220827 15,4314.2676
1_20220827 16,4311.08
1_20220827 17,3950.619
1_20220827 18,3336.672
1_20220827 19,2901.808
1_20220827 20,2768.7896
1_20220827 21,2416.9739
1_20220827 22,1968.9528
1_20220827 23,1956.3163
1_20220828 00,2135.0415
1_20220828 01,2084.681
1_20220828 02,2034.9222
1_20220828 03,2051.7876
1_20220828 04,2029.541
1_20220828 05,2036.1178
1_20220828 06,2222.5547
1_20220828 07,2497.1294
1_20220828 08,3171.0452
1_20220828 09,3464.4958
1_20220828 10,4277.9834
1_20220828 11,4176.8867
1_20220828 12,4351.737
1_20220828 13,4410.0825
1_20220828 14,4367.4287
1_20220828 15,4273.7036
1_20220828 16,4280.0176
1_20220828 17,4035.4302
1_20220828 18,3450.288
1_20220828 19,3034.3196
1_20220828 20,2851.6704
1_20220828 21,2309.2947
1_20220828 22,1876.113
1_20220828 23,1910.5906
1_20220829 00,2225.4631
1_20220829 01,2171.8237
1_20220829 02,2122.4778
1_20220829 03,2114.2163
1_20220829 04,2114.2163
1_20220829 05,2220.5337
1_20220829 06,2408.886
1_20220829 07,2690.7297
1_20220829 08,3144.404
1_20220829 09,3362.3638
1_20220829 10,4195.9585
1_20220829 11,4208.9175
1_20220829 12,4209.5093
1_20220829 13,4229.435
1_20220829 14,4291.574
1_20220829 15,4356.8877
1_20220829 16,4405.019
1_20220829 17,3901.5059
1_20220829 18,3305.3057
1_20220829 19,2904.7417
1_20220829 20,2886.3562
1_20220829 21,2410.5198
1_20220829 22,2036.1274
1_20220829 23,2014.6823
1_20220830 00,2065.4817
1_20220830 01,2011.2506
1_20220830 02,1824.7572
1_20220830 03,1869.4791
1_20220830 04,1808.8629
1_20220830 05,1876.775
1_20220830 06,1826.3362
1_20220830 07,2256.2688
1_20220830 08,2788.1382
1_20220830 09,3029.7415
1_20220830 10,3723.5767
1_20220830 11,3678.7092
1_20220830 12,3681.0542
1_20220830 13,3659.2427
1_20220830 14,3672.4485
1_20220830 15,3682.5872
1_20220830 16,3679.8223
1_20220830 17,3224.9531
1_20220830 18,2752.8809
1_20220830 19,2530.6287
1_20220830 20,2435.5315
1_20220830 21,2084.5437
1_20220830 22,1898.8209
1_20220830 23,1796.1813
1_20220831 00,1925.265
1_20220831 01,1854.7207
1_20220831 02,1803.5073
1_20220831 03,1816.6912
1_20220831 04,1816.6912
1_20220831 05,1922.6376
1_20220831 06,1925.3226
1_20220831 07,2200.538
1_20220831 08,2635.9414
1_20220831 09,2860.2632
1_20220831 10,3567.8123
1_20220831 11,3866.66
1_20220831 12,3859.444
1_20220831 13,3737.7087
1_20220831 14,3745.9512
1_20220831 15,3853.3264
1_20220831 16,3594.8262
1_20220831 17,3378.8228
1_20220831 18,2970.0725
1_20220831 19,2632.7146
1_20220831 20,2493.727
1_20220831 21,1973.9305
1_20220831 22,1764.6711
1_20220831 23,1765.5474
2_20220825 00,1271.709
2_20220825 01,1114.5479
2_20220825 02,1188.639
2_20220825 03,1215.8
2_20220825 04,1220.3514
2_20220825 05,1172.7632
2_20220825 06,1328.7012
2_20220825 07,1535.0559
2_20220825 08,2071.3586
2_20220825 09,2236.5876
2_20220825 10,2273.5383
2_20220825 11,2276.2456
2_20220825 12,2462.7285
2_20220825 13,2486.0486
